id:512 set(18,24)
size=104
0 - Note{key=18, value=24, times=3, pre=null, next=132}
1 - Note{key=132, value=94, times=0, pre=18, next=93}
2 - Note{key=93, value=151, times=0, pre=132, next=1}
3 - Note{key=1, value=34, times=3, pre=93, next=83}
4 - Note{key=83, value=75, times=3, pre=1, next=28}
5 - Note{key=28, value=229, times=3, pre=83, next=57}
6 - Note{key=57, value=108, times=2, pre=28, next=42}
7 - Note{key=42, value=105, times=3, pre=57, next=72}
8 - Note{key=72, value=21, times=0, pre=42, next=64}
9 - Note{key=64, value=250, times=0, pre=72, next=34}
10 - Note{key=34, value=98, times=3, pre=64, next=112}
11 - Note{key=112, value=80, times=0, pre=34, next=45}
12 - Note{key=45, value=235, times=0, pre=112, next=13}
13 - Note{key=13, value=165, times=3, pre=45, next=134}
14 - Note{key=134, value=162, times=0, pre=13, next=109}
15 - Note{key=109, value=36, times=0, pre=134, next=130}
16 - Note{key=130, value=191, times=1, pre=109, next=5}
17 - Note{key=5, value=244, times=3, pre=130, next=16}
18 - Note{key=16, value=30, times=6, pre=5, next=82}
19 - Note{key=82, value=145, times=3, pre=16, next=102}
20 - Note{key=102, value=32, times=5, pre=82, next=26}
21 - Note{key=26, value=24, times=4, pre=102, next=20}
22 - Note{key=20, value=305, times=3, pre=26, next=99}
23 - Note{key=99, value=233, times=5, pre=20, next=12}
24 - Note{key=12, value=252, times=2, pre=99, next=128}
25 - Note{key=128, value=207, times=5, pre=12, next=96}
26 - Note{key=96, value=120, times=5, pre=128, next=110}
27 - Note{key=110, value=121, times=1, pre=96, next=14}
28 - Note{key=14, value=118, times=5, pre=110, next=84}
29 - Note{key=84, value=276, times=3, pre=14, next=129}
30 - Note{key=129, value=291, times=4, pre=84, next=55}
31 - Note{key=55, value=90, times=2, pre=129, next=89}
32 - Note{key=89, value=299, times=7, pre=55, next=117}
33 - Note{key=117, value=173, times=3, pre=89, next=68}
34 - Note{key=68, value=11, times=3, pre=117, next=48}
35 - Note{key=48, value=116, times=9, pre=68, next=37}
36 - Note{key=37, value=160, times=4, pre=48, next=32}
37 - Note{key=32, value=88, times=2, pre=37, next=69}
38 - Note{key=69, value=295, times=3, pre=32, next=23}
39 - Note{key=23, value=174, times=3, pre=69, next=124}
40 - Note{key=124, value=251, times=4, pre=23, next=123}
41 - Note{key=123, value=6, times=4, pre=124, next=9}
42 - Note{key=9, value=68, times=2, pre=123, next=127}
43 - Note{key=127, value=35, times=3, pre=9, next=90}
44 - Note{key=90, value=258, times=3, pre=127, next=133}
45 - Note{key=133, value=101, times=4, pre=90, next=52}
46 - Note{key=52, value=11, times=5, pre=133, next=15}
47 - Note{key=15, value=255, times=2, pre=52, next=79}
48 - Note{key=79, value=135, times=3, pre=15, next=86}
49 - Note{key=86, value=100, times=2, pre=79, next=114}
50 - Note{key=114, value=121, times=2, pre=86, next=107}
51 - Note{key=107, value=236, times=2, pre=114, next=126}
52 - Note{key=126, value=148, times=3, pre=107, next=81}
53 - Note{key=81, value=67, times=6, pre=126, next=74}
54 - Note{key=74, value=313, times=4, pre=81, next=31}
55 - Note{key=31, value=89, times=4, pre=74, next=104}
56 - Note{key=104, value=91, times=3, pre=31, next=108}
57 - Note{key=108, value=287, times=2, pre=104, next=7}
58 - Note{key=7, value=96, times=3, pre=108, next=40}
59 - Note{key=40, value=275, times=5, pre=7, next=105}
60 - Note{key=105, value=90, times=5, pre=40, next=30}
61 - Note{key=30, value=165, times=4, pre=105, next=75}
62 - Note{key=75, value=84, times=6, pre=30, next=2}
63 - Note{key=2, value=130, times=4, pre=75, next=101}
64 - Note{key=101, value=105, times=3, pre=2, next=50}
65 - Note{key=50, value=131, times=2, pre=101, next=121}
66 - Note{key=121, value=211, times=2, pre=50, next=95}
67 - Note{key=95, value=101, times=2, pre=121, next=46}
68 - Note{key=46, value=44, times=4, pre=95, next=73}
69 - Note{key=73, value=198, times=2, pre=46, next=80}
70 - Note{key=80, value=23, times=8, pre=73, next=85}
71 - Note{key=85, value=184, times=6, pre=80, next=97}
72 - Note{key=97, value=84, times=2, pre=85, next=61}
73 - Note{key=61, value=233, times=4, pre=97, next=119}
74 - Note{key=119, value=212, times=2, pre=61, next=76}
75 - Note{key=76, value=258, times=1, pre=119, next=92}
76 - Note{key=92, value=13, times=1, pre=76, next=47}
77 - Note{key=47, value=279, times=2, pre=92, next=87}
78 - Note{key=87, value=126, times=1, pre=47, next=65}
79 - Note{key=65, value=85, times=1, pre=87, next=39}
80 - Note{key=39, value=248, times=4, pre=65, next=33}
81 - Note{key=33, value=314, times=2, pre=39, next=136}
82 - Note{key=136, value=183, times=2, pre=33, next=53}
83 - Note{key=53, value=275, times=5, pre=136, next=58}
84 - Note{key=58, value=101, times=1, pre=53, next=77}
85 - Note{key=77, value=184, times=2, pre=58, next=49}
86 - Note{key=49, value=89, times=2, pre=77, next=11}
87 - Note{key=11, value=47, times=3, pre=49, next=120}
88 - Note{key=120, value=203, times=2, pre=11, next=10}
89 - Note{key=10, value=21, times=3, pre=120, next=24}
90 - Note{key=24, value=209, times=1, pre=10, next=8}
91 - Note{key=8, value=15, times=2, pre=24, next=78}
92 - Note{key=78, value=157, times=2, pre=8, next=131}
93 - Note{key=131, value=177, times=3, pre=78, next=3}
94 - Note{key=3, value=109, times=6, pre=131, next=94}
95 - Note{key=94, value=111, times=1, pre=3, next=43}
96 - Note{key=43, value=311, times=2, pre=94, next=59}
97 - Note{key=59, value=306, times=3, pre=43, next=113}
98 - Note{key=113, value=1, times=2, pre=59, next=100}
99 - Note{key=100, value=136, times=2, pre=113, next=71}
100 - Note{key=71, value=22, times=2, pre=100, next=19}
101 - Note{key=19, value=250, times=1, pre=71, next=60}
102 - Note{key=60, value=160, times=2, pre=19, next=29}
103 - Note{key=29, value=304, times=1, pre=60, next=null}

